year,İBBS3,city,population,total_cases,carried_over_from,opened_inside_year,finished,carried_over_to,returned,area
2020,TR100,İstanbul,15011868.0,2197808,1458710,739098,661068,1536740,8733,5461
2020,TR211,Tekirdağ,1074236.0,115139,57940,57199,55696,59443,453,6190
2020,TR212,Edirne,402237.0,48209,23490,24719,23321,24888,388,6145
2020,TR213,Kırklareli,359249.0,28844,11780,17064,16112,12732,110,6459
2020,TR221,Balıkesir,1229782.0,125662,63242,62420,59614,66048,746,14583
2020,TR222,Çanakkale,536513.0,52482,23774,28708,26772,25710,346,9817
2020,TR310,İzmir,4365022.0,543824,294752,249072,237411,306413,2370,11891
2020,TR321,Aydın,1108754.0,163357,85727,77630,71087,92270,893,8116
2020,TR322,Denizli,1028170.0,104271,46939,57332,55514,48757,378,12134
2020,TR323,Muğla,981159.0,128231,60246,67985,64451,63780,747,12654
2020,TR331,Manisa,1442166.0,130668,65891,64777,61151,69517,662,13339
2020,TR332,Afyonkarahisar,725813.0,61125,25191,35934,33273,27852,329,14016
2020,TR333,Kütahya,567438.0,42047,17909,24138,24268,17779,227,11634
2020,TR334,Uşak,361541.0,40109,17396,22713,22720,17389,371,5555
2020,TR411,Bursa,3057247.0,326944,170256,156688,144515,182429,886,10813
2020,TR412,Eskişehir,865311.0,110457,53812,56645,56344,54113,603,13960
2020,TR413,Bilecik,215480.0,21993,7461,14532,14049,7944,178,4179
2020,TR421,Kocaeli,1983504.0,184041,107517,76524,76544,107497,1188,3397
2020,TR422,Sakarya,1017864.0,88860,41616,47244,46172,42688,546,4824
2020,TR423,Düzce,389471.0,36973,19893,17080,17456,19517,215,2492
2020,TR424,Bolu,304628.0,28092,10493,17599,17009,11083,112,8313
2020,TR425,Yalova,253124.0,27385,11566,15819,15827,11558,282,798
2020,TR510,Ankara,5506786.0,722065,419365,302700,275473,446592,2366,25632
2020,TR521,Konya,2224384.0,215126,112139,102987,100454,114672,1120,40838
2020,TR522,Karaman,251791.0,24896,10542,14354,14336,10560,184,8678
2020,TR611,Antalya,2454014.0,356898,195412,161486,156948,199950,1373,20177
2020,TR612,Isparta,431143.0,42039,17206,24833,24976,17063,493,8946
2020,TR613,Burdur,262897.0,27916,12771,15145,15840,12076,326,7175
2020,TR621,Adana,2244748.0,230176,130984,99192,97261,132915,1178,13844
2020,TR622,Mersin,1839975.0,244320,141008,103312,91471,152849,1233,16010
2020,TR631,Hatay,1654907.0,158496,87778,70718,65115,93381,971,5524
2020,TR632,Kahramanmaraş,1164273.0,85947,41280,44667,41739,44208,542,14520
2020,TR633,Osmaniye,547923.0,51817,22375,29442,26625,25192,317,3320
2020,TR711,Kırıkkale,270486.0,23803,10263,13540,12532,11271,113,4791
2020,TR712,Aksaray,408201.0,34204,15992,18212,16590,17614,97,7659
2020,TR713,Niğde,358036.0,31696,11463,20233,17963,13733,265,7234
2020,TR714,Nevşehir,296226.0,28802,11361,17441,17428,11374,167,5485
2020,TR715,Kırşehir,229516.0,15388,4804,10584,9153,6235,80,6584
2020,TR721,Kayseri,1402941.0,139676,70506,69170,59869,79807,898,16970
2020,TR722,Sivas,629795.0,41860,14984,26876,25599,16261,219,28164
2020,TR723,Yozgat,409249.0,27200,11406,15794,15078,12122,126,13690
2020,TR811,Zonguldak,586358.0,41253,15877,25376,25358,15895,292,3342
