city,population,total_cases,carried_over_from,opened_inside_year,finished,carried_over_to,time_since_event,population_density
İzmir,4365022.0,543824,294752,249072,237411,306413,4,367.08619964679167
Aydın,1108754.0,163357,85727,77630,71087,92270,4,136.61335633316904
Denizli,1028170.0,104271,46939,57332,55514,48757,4,84.73462996538652
Muğla,981159.0,128231,60246,67985,64451,63780,4,77.53745851114272
Manisa,1442166.0,130668,65891,64777,61151,69517,4,108.1165004872929
Afyonkarahisar,725813.0,61125,25191,35934,33273,27852,4,51.784603310502284
Kütahya,567438.0,42047,17909,24138,24268,17779,4,48.77411036616813
Uşak,361541.0,40109,17396,22713,22720,17389,4,65.08388838883889
Bursa,3057247.0,326944,170256,156688,144515,182429,4,282.7380930361602
Eskişehir,865311.0,110457,53812,56645,56344,54113,4,61.98502865329513
Bilecik,215480.0,21993,7461,14532,14049,7944,4,51.56257477865518
Kocaeli,1983504.0,184041,107517,76524,76544,107497,4,583.8987341772151
Sakarya,1017864.0,88860,41616,47244,46172,42688,4,211.0
Düzce,389471.0,36973,19893,17080,17456,19517,4,156.28852327447834
Bolu,304628.0,28092,10493,17599,17009,11083,4,36.644773246722
Yalova,253124.0,27385,11566,15819,15827,11558,4,317.1979949874687
Ankara,5506786.0,722065,419365,302700,275473,446592,4,214.84027777777777
Konya,2224384.0,215126,112139,102987,100454,114672,4,54.46848523434056
Karaman,251791.0,24896,10542,14354,14336,10560,4,29.014865176307904
Antalya,2454014.0,356898,195412,161486,156948,199950,4,121.62432472617337
Isparta,431143.0,42039,17206,24833,24976,17063,4,48.19394142633579
Burdur,262897.0,27916,12771,15145,15840,12076,4,36.6406968641115
Adana,2244748.0,230176,130984,99192,97261,132915,4,162.14591158624674
Mersin,1839975.0,244320,141008,103312,91471,152849,4,114.9266083697689
Hatay,1654907.0,158496,87778,70718,65115,93381,4,299.5849022447502
Kahramanmaraş,1164273.0,85947,41280,44667,41739,44208,4,80.18409090909091
Osmaniye,547923.0,51817,22375,29442,26625,25192,4,165.0370481927711
Kırıkkale,270486.0,23803,10263,13540,12532,11271,4,56.45710707576706
Aksaray,408201.0,34204,15992,18212,16590,17614,4,53.29690560125343
Niğde,358036.0,31696,11463,20233,17963,13733,4,49.493502902958255
Nevşehir,296226.0,28802,11361,17441,17428,11374,4,54.006563354603465
Kırşehir,229516.0,15388,4804,10584,9153,6235,4,34.859659781287974
Kayseri,1402941.0,139676,70506,69170,59869,79807,4,82.67183264584561
Sivas,629795.0,41860,14984,26876,25599,16261,4,22.361702883113193
Yozgat,409249.0,27200,11406,15794,15078,12122,4,29.89401022644266
Zonguldak,586358.0,41253,15877,25376,25358,15895,4,175.45122681029324
Karabük,234171.0,19195,7383,11812,11952,7243,4,56.535731530661515
Bartın,197422.0,13845,4673,9172,7362,6483,4,84.73047210300429
Kastamonu,370459.0,27044,10356,16688,15614,11430,4,28.357241273729333
Çankırı,186603.0,13741,5290,8451,8530,5211,4,24.74184566428003
Sinop,214076.0,13874,4530,9344,8790,5084,4,37.445513381143954
Samsun,1327875.0,121046,57997,63049,64198,56848,4,136.54241645244215
Tokat,591518.0,43127,18231,24896,25439,17688,4,58.9044015136427
Çorum,519193.0,41330,15415,25915,21790,19540,4,41.77607016414548
Amasya,331263.0,24825,8657,16168,15640,9185,4,58.85980810234542
Trabzon,799276.0,48505,20186,28319,27750,20755,4,172.70440795159897
Ordu,754282.0,50148,16826,33322,32231,17917,4,127.54176530267162
Giresun,443544.0,28392,10648,17744,17003,11389,4,63.61790017211704
Rize,342769.0,23988,9916,14072,13354,10634,4,89.37913950456323
Artvin,168860.0,13727,5690,8037,8143,5584,4,22.84052482077641
Gümüşhane,139712.0,7870,2705,5165,4489,3381,4,20.952609478104378
Erzurum,753742.0,45336,20865,24471,26152,19184,4,30.14244581300488
Erzincan,231126.0,16230,6306,9924,9641,6589,4,19.56208209902666
Bayburt,81372.0,4249,1742,2507,2413,1836,4,21.7223705285638
